pair_key,task_id,seed,memory_type,status,score_delta,f1_effect,share_f1,withhold_f1,share_success,withhold_success,share_predicted,withhold_predicted
interv_51_conflicting_s43,51,43,conflicting,valid_complete,0.0,0.0,0.8,0.8,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'VACUUM']"
interv_51_role_mismatched_s43,51,43,role_mismatched,valid_complete,-1.0,-0.1714,0.4,0.5714,False,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_52_beneficial_s41,52,41,beneficial,valid_complete,0.0,0.0,0.4,0.4,False,False,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']"
interv_52_irrelevant_s41,52,41,irrelevant,valid_complete,-1.0,-0.2381,0.3333,0.5714,False,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_52_conflicting_s41,52,41,conflicting,valid_complete,1.0,0.5714,0.5714,0.0,True,False,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']",['INSERT_LARGE_DATA']
interv_52_role_mismatched_s41,52,41,role_mismatched,valid_complete,-1.0,-0.1714,0.4,0.5714,False,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_52_beneficial_s42,52,42,beneficial,valid_complete,1.0,0.1714,0.5714,0.4,True,False,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']"
interv_52_irrelevant_s42,52,42,irrelevant,valid_complete,-1.0,-0.1714,0.4,0.5714,False,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_52_conflicting_s42,52,42,conflicting,valid_complete,0.0,0.0,0.4,0.4,False,False,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']"
interv_52_role_mismatched_s42,52,42,role_mismatched,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_52_beneficial_s43,52,43,beneficial,valid_complete,1.0,0.1714,0.5714,0.4,True,False,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']"
interv_52_irrelevant_s43,52,43,irrelevant,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_52_conflicting_s43,52,43,conflicting,valid_complete,-1.0,-0.2381,0.3333,0.5714,False,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_52_role_mismatched_s43,52,43,role_mismatched,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_58_beneficial_s41,58,41,beneficial,valid_complete,-1.0,-0.1714,0.4,0.5714,False,True,"['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_58_irrelevant_s41,58,41,irrelevant,valid_complete,1.0,0.1714,0.5714,0.4,True,False,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']"
interv_58_conflicting_s41,58,41,conflicting,valid_complete,1.0,0.4,0.8,0.4,True,False,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']","['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']"
interv_58_role_mismatched_s41,58,41,role_mismatched,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_58_beneficial_s42,58,42,beneficial,valid_complete,0.0,-0.2286,0.5714,0.8,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']"
interv_58_irrelevant_s42,58,42,irrelevant,valid_complete,0.0,0.0,0.8,0.8,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']"
interv_58_conflicting_s42,58,42,conflicting,valid_complete,0.0,-0.2286,0.5714,0.8,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']"
interv_58_role_mismatched_s42,58,42,role_mismatched,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_58_beneficial_s43,58,43,beneficial,valid_complete,0.0,-0.0953,0.5714,0.6667,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']"
interv_58_irrelevant_s43,58,43,irrelevant,valid_complete,-1.0,-0.1714,0.4,0.5714,False,True,"['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_58_conflicting_s43,58,43,conflicting,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_58_role_mismatched_s43,58,43,role_mismatched,valid_complete,0.0,-0.2286,0.5714,0.8,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']"
interv_59_beneficial_s41,59,41,beneficial,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_59_irrelevant_s41,59,41,irrelevant,valid_complete,0.0,0.2286,0.8,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_59_conflicting_s41,59,41,conflicting,valid_complete,0.0,0.0,0.8,0.8,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']"
interv_59_role_mismatched_s41,59,41,role_mismatched,valid_complete,0.0,0.0,0.8,0.8,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']","['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']"
interv_59_beneficial_s42,59,42,beneficial,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_59_irrelevant_s42,59,42,irrelevant,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_59_conflicting_s42,59,42,conflicting,valid_complete,0.0,0.2286,0.8,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_59_role_mismatched_s42,59,42,role_mismatched,valid_complete,0.0,0.2286,0.8,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_59_beneficial_s43,59,43,beneficial,valid_complete,-1.0,-0.1714,0.4,0.5714,False,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'REDUNDANT_INDEX']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_59_irrelevant_s43,59,43,irrelevant,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_59_conflicting_s43,59,43,conflicting,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_59_role_mismatched_s43,59,43,role_mismatched,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_67_beneficial_s41,67,41,beneficial,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_67_irrelevant_s41,67,41,irrelevant,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_67_conflicting_s41,67,41,conflicting,valid_complete,0.0,0.0,0.4,0.4,False,False,"['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']","['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']"
interv_67_role_mismatched_s41,67,41,role_mismatched,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_67_beneficial_s42,67,42,beneficial,valid_complete,0.0,0.0,0.4,0.4,False,False,"['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']","['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']"
interv_67_irrelevant_s42,67,42,irrelevant,valid_complete,0.0,0.0,0.4,0.4,False,False,"['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']","['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']"
interv_67_conflicting_s42,67,42,conflicting,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_67_role_mismatched_s42,67,42,role_mismatched,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_67_beneficial_s43,67,43,beneficial,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_67_irrelevant_s43,67,43,irrelevant,valid_complete,1.0,0.1714,0.5714,0.4,True,False,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']"
interv_67_conflicting_s43,67,43,conflicting,valid_complete,-1.0,-0.1714,0.4,0.5714,False,True,"['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_67_role_mismatched_s43,67,43,role_mismatched,valid_complete,1.0,0.1714,0.5714,0.4,True,False,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']"
interv_73_beneficial_s41,73,41,beneficial,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_73_irrelevant_s41,73,41,irrelevant,valid_complete,0.0,0.0,0.8,0.8,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'VACUUM']"
interv_73_conflicting_s41,73,41,conflicting,valid_complete,0.0,-0.2286,0.5714,0.8,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'VACUUM']"
interv_73_role_mismatched_s41,73,41,role_mismatched,valid_complete,1.0,0.1714,0.5714,0.4,True,False,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']"
interv_73_beneficial_s42,73,42,beneficial,valid_complete,0.0,-0.2286,0.5714,0.8,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'VACUUM']"
interv_73_irrelevant_s42,73,42,irrelevant,valid_complete,0.0,0.0,0.8,0.8,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'VACUUM']"
interv_73_conflicting_s42,73,42,conflicting,valid_complete,0.0,0.0,0.8,0.8,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'VACUUM']"
interv_73_role_mismatched_s42,73,42,role_mismatched,valid_complete,0.0,-0.2286,0.5714,0.8,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'VACUUM']"
interv_73_beneficial_s43,73,43,beneficial,valid_complete,0.0,0.0,0.8,0.8,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'VACUUM']"
interv_73_irrelevant_s43,73,43,irrelevant,valid_complete,0.0,0.2286,0.8,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_73_conflicting_s43,73,43,conflicting,valid_complete,0.0,-0.2286,0.5714,0.8,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'VACUUM']"
interv_73_role_mismatched_s43,73,43,role_mismatched,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_85_beneficial_s41,85,41,beneficial,valid_complete,0.0,-0.2286,0.5714,0.8,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']"
interv_85_irrelevant_s41,85,41,irrelevant,valid_complete,0.0,0.0,0.5714,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_85_conflicting_s41,85,41,conflicting,valid_complete,0.0,0.0,0.8,0.8,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']","['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'VACUUM']"
interv_85_role_mismatched_s41,85,41,role_mismatched,valid_complete,0.0,0.2286,0.8,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_85_beneficial_s42,85,42,beneficial,valid_complete,-1.0,-0.1714,0.4,0.5714,False,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'REDUNDANT_INDEX']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_85_irrelevant_s42,85,42,irrelevant,valid_complete,0.0,0.2286,0.8,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_85_conflicting_s42,85,42,conflicting,valid_complete,0.0,0.2286,0.8,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
interv_85_role_mismatched_s42,85,42,role_mismatched,valid_complete,1.0,0.1714,0.5714,0.4,True,False,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'REDUNDANT_INDEX']"
interv_85_beneficial_s43,85,43,beneficial,valid_complete,0.0,0.0,0.8,0.8,True,True,"['INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']"
interv_85_irrelevant_s43,85,43,irrelevant,valid_complete,0.0,0.2286,0.8,0.5714,True,True,"['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION']","['FETCH_LARGE_DATA', 'INSERT_LARGE_DATA', 'LOCK_CONTENTION', 'REDUNDANT_INDEX', 'VACUUM']"
